jp|meaning|example
通帳|bankbook|
(キャッシュ）カード|cash/bank card|
はんこ/印鑑|seal|<img src="hanko.jpg">
サイン|signature|
千円札|a thousand-yen bill|
紙幣\(お)札|bill(paper money)|
百円玉|a hundred yen coin|
硬貨|coin|
お金をためる/貯金する|save money|
預金する|make a deposit|=銀行にお金を預かる
給料を引き出す/下す|withdraw paycheck|
給料記入をする|update a bankbook|＝通帳に記入する
暗証番号|PIN|
銀行の本店|main branch of a bank|
銀行の支店|a branch of a bank|
口座を開く|open an account|
家賃を振り込む|transfer the rent|
振り込み|transfer|
公共料金を支払う|pay utility bills|公共料金＝電気代,ガス代,水道代,電話代 など
支払う|payment|
商品の代金を払う|pay for the goods|
あて名|addressee|
窓口で両替をする|exchange money at the counter|
差出人名|sender's name|
送金する|remit payment|
手紙を速達で出す|send a letter by express mail|
し送ります|I'll send it to you|
小包|parcel|
手数料がかかる|incur handling charge|
送料がかかる|incur shipping charge|
