jp|meaning|example
〜と 交際する,付き合う|to go out with someone|
〜と かんかする|have a fight|
〜と 仲直りする|reconcile/makeup|
〜と 仲がいい|on good terms|
〜と 仲良し|good friend|
〜が 気になる|to be interested in|
〜が 好きになる|come to like|
〜が 嫌いになる|come to dislike|
〜が いやになる|get sick of|
〜が 羨ましい|be envious|
〜を コンサートにさそう|let's go to the concert|
〜を いやがる|to dislike|
〜を ふる|turn down|
〜に 好かれる|be liked|
〜に 嫌われる|be hated|
〜に 嫌がられる|be disliked|
〜に 振られる|be turned down|
〜に 気がある|be interested|
〜に あこがれる|long for|
〜に 夢中になる|crazy about~|
〜に 恋をする|fall in love|
女性にモテる|be popular with women|
(お)互いに気に入る|like each other|
相手の予定を聞く|ask someone's schedule|
都合をつける|try to make oneself avaialble|
都合がつく|make oneself avaialble|
付き合い|relationship|
恋人|lover|
結婚を申し込む|propose marriage|
断る|turn down|
曖昧を返事をする|give a vague answer|
