jp|meaning|example
フロントガラス|windshield|
ワイパー|wiper|
ボンネット|bonnet|
ライト|light|
バックミラー|rearview mirror|
トランク|trunk|
タイヤ|tire|
サイドミラー|side mirror|
助手席|passenger seat|
運転席|driver's seat|
カーナビ|car navigation system|
ハンドル|steering wheel|
キー|key|
運転免許証|driver's license|
ドライブ（を）する|to drive|
レンタカーを借りる|rent a car|
トランクに荷物を積む|load the trunk|
人を乗せる|give someone a ride|
シートベルトをしめる|fasten seat belt|
エンジンをかける|to start the engine|
バックミラーで確認（を）する|check in the rearview mirror|
ハンドルをにぎる|take the wheel|
アクセルをふむ|step on the accelerator|
ブレーキをかける|step on the break|
急ブレーキ|sudden stop|
ライトをつける|turn on the light|
ワイパーを動かす|turn on the wiper|
ガソリンスタンドに寄る|stop at a gas station|
高速（道路）に乗る|get on the highway|
タイヤがパンクする|have a flat tire|
