jp|meaning|example
通行止め|road closed|
四つ角|corssroads|
交差点|intersection|
工事中|under construction|
踏切|railway crossing|
一方通行|one-way traffic|
渋滞|congestion|
混んでいる|to be packed|
渋滞している|be congested|
道路がすいている|the road is empty|
回り道（を）する|make a detour|
遠回り（を）する|make a detour|
近道（を）する|take a shortcut|
突き当り左に曲がる|turn left at the end|
線路を超える|cross the railway crossing|
トラックを追い越す|overtake a truck|
時速１００キロで走る|drive at 100km/h|
スピード違反で捕まる|be caught speeding|
駐車違反をする|commit a parking violation|
信号を無視する|ignore the signal(red light in this case)|
信号無視|ignoring the signal(red light)|
車をぶつける|hit a car|
車がぶつかる|car hit(another)|
猫をひく|run over a cat|
猫が車にひかれる|a cat is run over by a car|
(交通)事故にあう|get involved in an accident|
車に気を付ける|watch out for cars|
ななめに横断する|corss the street diagonally|
道路を横切る|cross the street|
