jp|meaning|example
市役所|city hall|
役に立つ|be useful|
役員|an officer|
郵便|mail service|
郵便局|Post office|
薬局|a drugstore|
交番|Police box|
交通|traffic, transportation|
交換|exchange|
差|difference|
差し出す|to submit|
差出人|a sender|
交差点|an intersection|
点数|score|
～点|~points|
歩道橋|a pedestrian bridge|
橋|a bridge|
公園|a park|
