ji|on|kun|example
役|ヤク||役に立つ(useful)
郵|ユウ||郵便
局|キョク||郵便局
交|コウ||交番
差|サ|さーす|差し出す
点|テン||
僑|キョウ|はし|歩道橋
空|クウ||公園
