jp|meaning|example
観光|sightseeing|
観客|spectator,audience|
動物園|zoo|
空港|airport​|
○○港|~port,~harbour|こう
港|a port, a harbour|
公園地|an amusement park|
遊ぶ|play|
美術館|art gallery​|
美人|a beautiful woman|
美しい|beautiful|
技術|technology, technique|
手術|surgery, operation|
神社|a shrine​|
神経質(な)|nervous|
神様|a god|
○○寺|~temple|
お寺|a temple|
