1301141718|1606073686
可愛らしい|lovely| 
可愛そうな|Poor thing| 
行儀かいい|well behaved| 
利口な/かしこい|Clever/smart| 
人なつ(っ)こい|friendly| 
わがままな|selfish| 
生意気な子供|cheeky kid| 
生意気な態度|cheeky attitude| 
甘やかす|to pamper| 
可愛がる|to adore| 
おんぶする|to piggyback| 
抱っこする|carry in arm| 
腕に抱く|carry (a person) in one's arms| 
犬がほえる|The dog is barking| 
しっぽ|tail| 
犬がしっぽを振る|dog wagging its tail| 
犬が人になれる|dog became tame| 
犬がうなる|The dog growls| 
犬が穴をほる|the dog dig a hole| 
犬が穴をうめる|the dog fills a hole| 
育児|childcare|ほんの一握りの男性しか育児休暇を取りたがらない。<br/>Only a handful of men want to take childcare leave.
子育て|raise children|彼は子育ての苦労を知らない。<br/>He doesn't know the cares of raising children.
幼児|toddler|child over 1 but not yet of school age
幼い子供|a young child| 
子供が成長する|Child grows up| 
わがままに育つ|grow up spoiled| 
えらい|great, admirable, VI(P)| 
頭をなでる|Pat the head| 
(お)尻を たたく/ぶつ|spanking| 
いたずらをする|play pranks| 
いたずらな|mischievous| 
手をつなぐ|hold hands| 
手をはなす|let go of hands| 
子供が迷子になる|child gets lost| 
子供が母親の後をついていく|child follows mother| 
犬を飼う|keep a dog| 
散歩に連れていく|take _ out for a walk| 
犬にえさを やる/与える|Feed the dog| 
