jp|meaning|example
上る|climb|
上がる|climb|
下る|go down|
上り|acent|
下り|decend|
下り電車|Trains heading away from Tokyo|
上り電車|Trains heading toward Tokyo|
列車の時刻を調べる|lookup train times|
時刻表|timetable/schedule|
東京発 横浜行き||----　横浜ゆき
私鉄|private line|refers to a public transit railway owned and operated by private sector,
新幹線|bullet train|
座席を指定する|reserve a seat|
乗車券|passenger ticket|
片道切符|one-way ticket|
往復切符|round trip ticket|
特急券|limited-express ticket|
特急料金|limited express fare|
回数券|coupon tickets, discount tickets|
定期券|commuter pass|
改札口を通る|go through the ticket gate|
切符を払い戻す|refund the ticket|
払い戻し|refund|
