ji|on|kun|example
準|ジュン||準備
備|ビ|そな-える|準備
営|エイ||営業
閉|ヘイ|し-まる<br/>し-める|開閉
案|アン||案内
内|ナイ|うち|案内, 以内
予|ヨ||予定
約|ヤク||予約
