jp|meaning|example
準備|preparation|
備える|prepare|
営業|business|
開閉|open and shut|そのドアは人が来る度、開閉を繰り返す。<br/>The door opens and closes every time a person comes.
閉まる|to be closed|
閉める|to close|
案内|guidance, information|
案|a suggestion, a proposal|
内側|inside|
家内|wife|
以内|within|
国内|domestic|
予定|schedule, plan|
予習|preparation for a lesson|
予約|reservation|
約~|approximately|
