jp|meaning|example
額|forehead|
睫毛|eyelashes|
ほお/頬|cheek|
ネックレス|necklace|
眉/眉毛|eyebrow|
瞼|eyelid|
イヤリング|earing|
唇|lips|
ベルト|belt|
パンツ|pants|
朝の支度をする|get ready in the morning|
シャワーを浴びる|take a shower|
下着|underwear|
上着|coat,jacket|
歯を磨く|to brush one's teeth|
歯磨き|toothpaste|
歯磨き粉をつける|apply toothpaste|「粉」という漢字を使っているが、今は練り歯磨きのことを言う。
歯ブラシ|toothbrush|
髭を剃る|shave one's beard|
ドライヤーで髪を乾かす|dry one's hair with a dryer|
髪を解く/とかす|comb one's hair|
(お)化粧をする|put on makeup|
口紅を塗る/つける|put on lipstick|
おしゃれをする|dress up|
おしゃれな人|fashionable person|
紐を結ぶ|tie a string|
紐を解く|untie a string|
マフラーを巻く/する|wear a muffler|<img src="muffler.jpg">
手袋をはめる/する|put on gloves|
指輪をはめる/する|put on ring|
