jp|meaning|example
未定|undecided/pending|計画はまだ未定である。<br/>The plans are still up in the air.
未来|future|
〜未満|less than/below|
週末|weekend|
月末|end of the month|
年末|end of the year|
若い|young|
晩|night|
今晩|tonight|
晩ご飯|dinner|
毎晩|every night|
~島|~island|
島|island|
皿|plate|
灰皿|ashtray|
血|blood|
出血|bleed|
救助|rescue, aid|彼らは直ちに私たちに救助に来た。<br/>They came to our rescue at once.
助ける|help|
