jp|meaning|example
禁煙|no smoking|
煙|smoke|
本当|the truth|
当○○|this~|
当たる|hit|
当たり前|natural, obvious|
全部|all|
全席|all seats|
安全(な)|safe|
客|customer|
様子|appearance, circumstances​|
○○様|~sama|
理解|understand|
解答|to answer|
解説|explanation|
分解|disassembly|時計を分解するのは組み立てるより簡単だ。<br/>Taking a watch apart is easier than putting it together.
協力|cooperation|
願う|wish|
